time,lat,long
21.15,43.6557,-79.396
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.396
21.15,43.6557,-79.396
21.15,43.6557,-79.396
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.15,43.6557,-79.3959
21.1667,43.6555,-79.3959
21.1667,43.6555,-79.3958
21.1667,43.6556,-79.3957
21.1667,43.6556,-79.3956
21.1667,43.6556,-79.3955
21.1833,43.6556,-79.3954
21.1833,43.6556,-79.3953
21.1833,43.6557,-79.3952
21.1833,43.6557,-79.3951
21.1833,43.6557,-79.395
21.1833,43.6557,-79.395
21.1833,43.6557,-79.3949
21.1833,43.6558,-79.3948
21.1833,43.6558,-79.3947
21.1833,43.6559,-79.3947
21.1833,43.6559,-79.3947
21.1833,43.656,-79.3948
21.2,43.6561,-79.3948
21.2,43.6561,-79.3947
21.2,43.6562,-79.3948
21.2,43.6563,-79.3948
21.2,43.6563,-79.3949
21.2,43.6564,-79.3949
21.2,43.6565,-79.395
21.2,43.6565,-79.395
21.2,43.6566,-79.3951
21.2,43.6567,-79.3951
21.2,43.6568,-79.3951
21.2,43.6568,-79.3951
21.2167,43.6569,-79.3952
21.2167,43.657,-79.3952
21.2167,43.6571,-79.3951
21.2167,43.6571,-79.395
21.2167,43.6572,-79.3951
21.2167,43.6573,-79.3951
21.2167,43.6574,-79.3951
21.2167,43.6574,-79.3951
21.2167,43.6575,-79.3952
21.2167,43.6575,-79.3952
21.2167,43.6576,-79.3953
21.2167,43.6577,-79.3953
21.2333,43.6577,-79.3953
21.2333,43.6578,-79.3953
21.2333,43.6579,-79.3954
21.2333,43.6579,-79.3954
21.2333,43.658,-79.3954
21.2333,43.6581,-79.3954
21.2333,43.6581,-79.3955
21.2333,43.6582,-79.3955
21.2333,43.6583,-79.3955
21.2333,43.6583,-79.3955
21.2333,43.6584,-79.3955
21.2333,43.6585,-79.3955
21.25,43.6585,-79.3956
21.25,43.6586,-79.3957
21.25,43.6586,-79.3957
21.25,43.6586,-79.3957
21.25,43.6587,-79.3957
21.25,43.6588,-79.3957
21.25,43.6588,-79.3957
21.25,43.6588,-79.3956
21.25,43.6588,-79.3955
21.25,43.6588,-79.3954
21.25,43.6587,-79.3953
21.25,43.6586,-79.3952
21.2667,43.6587,-79.3951
21.2667,43.6587,-79.395
21.2667,43.6588,-79.3949
21.2667,43.6588,-79.3948
21.2667,43.6589,-79.3947
21.2667,43.659,-79.3947
21.2667,43.659,-79.3946
21.2667,43.659,-79.3945
21.2667,43.6591,-79.3944
21.2667,43.6591,-79.3944
21.2667,43.6591,-79.3943
21.2667,43.6592,-79.3943
21.2833,43.6592,-79.3943
21.2833,43.6593,-79.3942
21.2833,43.6593,-79.3942
21.2833,43.6594,-79.3942
21.2833,43.6595,-79.3942
21.2833,43.6596,-79.3942
21.2833,43.6596,-79.3941
21.2833,43.6596,-79.3941
21.2833,43.6596,-79.394
21.2833,43.6596,-79.3939
21.2833,43.6596,-79.3938
21.2833,43.6597,-79.3937
21.3,43.6598,-79.3937
21.3,43.6599,-79.3937
21.3,43.6598,-79.3936
21.3,43.6598,-79.3936
21.3,43.6598,-79.3935
21.3,43.6597,-79.3935
21.3,43.6597,-79.3935
21.3,43.6597,-79.3935
21.3,43.6596,-79.3934
21.3,43.6595,-79.3934
21.3,43.6595,-79.3934
21.3,43.6594,-79.3935
21.3167,43.6594,-79.3936
21.3167,43.6595,-79.3937
21.3167,43.6596,-79.3937
21.3167,43.6597,-79.3937
21.3167,43.6597,-79.3937
21.3167,43.6598,-79.3938
21.3167,43.6598,-79.3939
21.3167,43.6599,-79.394
21.3167,43.6597,-79.394
21.3167,43.6596,-79.3939
21.3167,43.6597,-79.3943
21.3167,43.6597,-79.3944
21.3333,43.6598,-79.3944
21.3333,43.6598,-79.3944
21.3333,43.6598,-79.3944
21.3333,43.6598,-79.3944
21.3333,43.6599,-79.3945
21.3333,43.6598,-79.3944
21.3333,43.6598,-79.3941
21.3333,43.6599,-79.394
21.3333,43.6599,-79.394
21.3333,43.6599,-79.3939
21.3333,43.6598,-79.3939
21.3333,43.6598,-79.3939
21.35,43.6597,-79.3939
21.35,43.6597,-79.3939
